txn_id,user_id,merchant,category,amount,status,wallet_type,timestamp,date
TXN00000008,U0566,Uber,Travel,28871.83,SUCCESS,PayWallet,2023-01-31 14:28:15,2023-01-31
TXN00000026,U0088,GooglePay,Transfer,40803.0,REFUNDED,EasyWallet,2023-01-31 14:04:08,2023-01-31
TXN00000032,U0527,Swiggy,Utilities,33452.2,SUCCESS,QuickPay,2023-01-28 12:26:18,2023-01-28
TXN00000044,U0610,Flipkart,Entertainment,20194.74,PENDING,EasyWallet,2023-01-27 14:39:54,2023-01-27
TXN00000048,U0470,PhonePe,Food,3672.3,SUCCESS,FastCash,2023-01-04 14:49:34,2023-01-04
TXN00000051,U0684,MakeMyTrip,Utilities,46588.48,SUCCESS,QuickPay,2023-01-04 00:54:59,2023-01-04
TXN00000055,U0004,Ola,Transport,31859.3,SUCCESS,SafePay,2023-01-18 02:55:06,2023-01-18
TXN00000058,U0316,Ola,Shopping,44947.24,SUCCESS,QuickPay,2023-01-17 05:52:23,2023-01-17
TXN00000068,U0726,Netflix,Shopping,26000.82,FAILED,QuickPay,2023-01-18 05:42:44,2023-01-18
TXN00000080,U0571,Swiggy,Food,22828.53,FAILED,EasyWallet,2023-01-20 12:04:09,2023-01-20
TXN00000087,U0212,MakeMyTrip,Grocery,19479.95,FAILED,PayWallet,2023-01-25 04:21:30,2023-01-25
TXN00000104,U0519,Paytm,Travel,642.48,SUCCESS,SafePay,2023-01-27 18:43:24,2023-01-27
TXN00000118,U0726,BigBasket,Transport,13722.82,REFUNDED,EasyWallet,2023-01-06 11:52:20,2023-01-06
TXN00000128,U0704,Swiggy,Utilities,39393.52,SUCCESS,QuickPay,2023-01-28 15:26:36,2023-01-28
TXN00000130,U0062,Zomato,Utilities,29756.25,FAILED,FastCash,2023-01-28 17:35:16,2023-01-28
TXN00000160,U0333,IRCTC,Shopping,14675.46,SUCCESS,QuickPay,2023-01-18 20:40:00,2023-01-18
TXN00000180,U0312,Spotify,Food,4868.63,PENDING,QuickPay,2023-01-15 10:50:31,2023-01-15
TXN00000183,U0707,Ola,Entertainment,22174.72,REFUNDED,FastCash,2023-01-13 16:56:16,2023-01-13
TXN00000186,U0052,IRCTC,Travel,12186.01,SUCCESS,EasyWallet,2023-01-09 07:03:57,2023-01-09
TXN00000190,U0367,IRCTC,Entertainment,29446.76,SUCCESS,FastCash,2023-01-06 18:30:29,2023-01-06
