txn_id,user_id,merchant,category,amount,status,wallet_type,timestamp,date
TXN00000006,U0095,Netflix,Food,17955.38,SUCCESS,FastCash,2023-02-09 16:40:07,2023-02-09
TXN00000038,U0052,Paytm,Shopping,48450.12,PENDING,QuickPay,2023-02-08 00:34:31,2023-02-08
TXN00000049,U0956,Ola,Food,43964.72,SUCCESS,QuickPay,2023-02-21 10:35:04,2023-02-21
TXN00000076,U0026,Amazon,Entertainment,49196.96,SUCCESS,PayWallet,2023-02-27 05:26:18,2023-02-27
TXN00000100,U0593,Amazon,Utilities,28794.08,PENDING,SafePay,2023-02-11 23:33:12,2023-02-11
TXN00000102,U0714,IRCTC,Utilities,42516.16,SUCCESS,PayWallet,2023-02-09 13:47:20,2023-02-09
TXN00000105,U0444,Ola,Transfer,35368.36,SUCCESS,EasyWallet,2023-02-10 23:41:36,2023-02-10
TXN00000121,U0842,Flipkart,Grocery,24592.41,SUCCESS,PayWallet,2023-02-14 07:22:09,2023-02-14
TXN00000122,U0153,IRCTC,Utilities,4268.19,SUCCESS,EasyWallet,2023-02-28 22:11:53,2023-02-28
TXN00000139,U0994,IRCTC,Grocery,43246.88,FAILED,PayWallet,2023-02-15 00:28:03,2023-02-15
TXN00000142,U0950,Uber,Transfer,44043.52,SUCCESS,PayWallet,2023-02-20 21:07:54,2023-02-20
TXN00000145,U0664,MakeMyTrip,Transport,24923.79,SUCCESS,EasyWallet,2023-02-15 14:51:49,2023-02-15
TXN00000147,U0393,Swiggy,Transport,43202.71,SUCCESS,SafePay,2023-02-26 04:09:39,2023-02-26
TXN00000159,U0779,Paytm,Food,22189.49,SUCCESS,PayWallet,2023-02-08 05:33:23,2023-02-08
TXN00000184,U0703,Ola,Travel,3036.9,SUCCESS,PayWallet,2023-02-08 14:03:07,2023-02-08
TXN00000204,U0592,BigBasket,Entertainment,7744.96,SUCCESS,PayWallet,2023-02-10 05:37:38,2023-02-10
TXN00000209,U0765,BigBasket,Entertainment,18815.96,SUCCESS,QuickPay,2023-02-05 15:14:36,2023-02-05
TXN00000240,U0662,Paytm,Grocery,25429.34,SUCCESS,FastCash,2023-02-06 07:02:41,2023-02-06
TXN00000242,U0159,Flipkart,Utilities,42222.98,SUCCESS,EasyWallet,2023-02-23 10:12:07,2023-02-23
TXN00000244,U0612,Netflix,Transport,8120.74,FAILED,EasyWallet,2023-02-20 21:27:56,2023-02-20
TXN00000255,U0040,Uber,Transfer,34806.64,SUCCESS,SafePay,2023-02-23 10:31:16,2023-02-23
TXN00000258,U0049,Swiggy,Grocery,31951.2,SUCCESS,PayWallet,2023-02-17 07:42:32,2023-02-17
TXN00000259,U0857,BookMyShow,Transfer,29840.98,SUCCESS,EasyWallet,2023-02-13 01:16:13,2023-02-13
TXN00000265,U0046,Ola,Travel,40677.31,SUCCESS,SafePay,2023-02-21 19:28:03,2023-02-21
TXN00000291,U0900,MakeMyTrip,Transport,38391.4,SUCCESS,EasyWallet,2023-02-19 20:09:54,2023-02-19
TXN00000297,U0047,Paytm,Utilities,32559.99,FAILED,SafePay,2023-02-01 13:03:06,2023-02-01
TXN00000302,U0779,Ola,Food,15962.6,SUCCESS,FastCash,2023-02-20 18:49:43,2023-02-20
