txn_id,user_id,merchant,category,amount,status,wallet_type,timestamp,date
TXN00000003,U0239,BigBasket,Shopping,28066.64,SUCCESS,EasyWallet,2023-03-26 21:51:13,2023-03-26
TXN00000012,U0474,Netflix,Utilities,49476.27,SUCCESS,EasyWallet,2023-03-05 11:01:17,2023-03-05
TXN00000013,U0702,Ola,Shopping,11460.11,SUCCESS,FastCash,2023-03-27 06:57:42,2023-03-27
TXN00000015,U0672,Spotify,Grocery,44235.31,SUCCESS,QuickPay,2023-03-24 13:49:22,2023-03-24
TXN00000031,U0008,Flipkart,Shopping,11454.8,PENDING,FastCash,2023-03-27 12:34:29,2023-03-27
TXN00000034,U0097,Flipkart,Grocery,17721.34,SUCCESS,PayWallet,2023-03-15 22:44:56,2023-03-15
TXN00000039,U0417,Spotify,Transfer,10695.23,SUCCESS,PayWallet,2023-03-06 14:07:54,2023-03-06
TXN00000040,U0389,Amazon,Grocery,13267.5,FAILED,SafePay,2023-03-05 22:31:45,2023-03-05
TXN00000066,U0595,Uber,Shopping,5429.04,SUCCESS,FastCash,2023-03-11 08:22:21,2023-03-11
TXN00000073,U0441,IRCTC,Travel,23254.76,SUCCESS,QuickPay,2023-03-23 15:02:40,2023-03-23
TXN00000094,U0466,Ola,Travel,38063.87,SUCCESS,SafePay,2023-03-24 04:49:00,2023-03-24
TXN00000096,U0666,Flipkart,Shopping,37714.12,PENDING,QuickPay,2023-03-29 01:54:07,2023-03-29
TXN00000109,U0500,Swiggy,Travel,39893.64,SUCCESS,EasyWallet,2023-03-12 14:52:13,2023-03-12
TXN00000115,U0124,GooglePay,Entertainment,15784.24,SUCCESS,QuickPay,2023-03-31 12:46:13,2023-03-31
TXN00000116,U0222,GooglePay,Transfer,13832.22,SUCCESS,EasyWallet,2023-03-16 09:17:28,2023-03-16
TXN00000126,U0246,Zomato,Food,7835.07,SUCCESS,EasyWallet,2023-03-02 23:52:41,2023-03-02
TXN00000172,U0206,Zomato,Travel,26547.31,PENDING,QuickPay,2023-03-10 05:05:02,2023-03-10
TXN00000187,U0071,MakeMyTrip,Entertainment,29323.29,FAILED,QuickPay,2023-03-21 16:39:16,2023-03-21
TXN00000213,U0774,BigBasket,Food,17265.19,SUCCESS,EasyWallet,2023-03-25 17:14:54,2023-03-25
