txn_id,user_id,merchant,category,amount,status,wallet_type,timestamp,date,city,kyc_status
TXN00000008,U0566,Uber,Travel,28871.83,SUCCESS,PayWallet,2023-01-31 14:28:15,2023-01-31,Mumbai,REJECTED
TXN00000026,U0088,GooglePay,Transfer,40803.0,REFUNDED,EasyWallet,2023-01-31 14:04:08,2023-01-31,Pune,REJECTED
TXN00000032,U0527,Swiggy,Utilities,33452.2,SUCCESS,QuickPay,2023-01-28 12:26:18,2023-01-28,Chennai,REJECTED
TXN00000044,U0610,Flipkart,Entertainment,20194.74,PENDING,EasyWallet,2023-01-27 14:39:54,2023-01-27,Jaipur,PENDING
TXN00000048,U0470,PhonePe,Food,3672.3,SUCCESS,FastCash,2023-01-04 14:49:34,2023-01-04,Delhi,VERIFIED
TXN00000051,U0684,MakeMyTrip,Utilities,46588.48,SUCCESS,QuickPay,2023-01-04 00:54:59,2023-01-04,Pune,PENDING
TXN00000055,U0004,Ola,Transport,31859.3,SUCCESS,SafePay,2023-01-18 02:55:06,2023-01-18,Ahmedabad,REJECTED
TXN00000058,U0316,Ola,Shopping,44947.24,SUCCESS,QuickPay,2023-01-17 05:52:23,2023-01-17,Hyderabad,REJECTED
TXN00000068,U0726,Netflix,Shopping,26000.82,FAILED,QuickPay,2023-01-18 05:42:44,2023-01-18,Pune,REJECTED
TXN00000080,U0571,Swiggy,Food,22828.53,FAILED,EasyWallet,2023-01-20 12:04:09,2023-01-20,Delhi,PENDING
TXN00000087,U0212,MakeMyTrip,Grocery,19479.95,FAILED,PayWallet,2023-01-25 04:21:30,2023-01-25,Ahmedabad,PENDING
TXN00000104,U0519,Paytm,Travel,642.48,SUCCESS,SafePay,2023-01-27 18:43:24,2023-01-27,Hyderabad,REJECTED
TXN00000118,U0726,BigBasket,Transport,13722.82,REFUNDED,EasyWallet,2023-01-06 11:52:20,2023-01-06,Pune,REJECTED
TXN00000128,U0704,Swiggy,Utilities,39393.52,SUCCESS,QuickPay,2023-01-28 15:26:36,2023-01-28,Ranchi,VERIFIED
TXN00000130,U0062,Zomato,Utilities,29756.25,FAILED,FastCash,2023-01-28 17:35:16,2023-01-28,Pune,VERIFIED
TXN00000160,U0333,IRCTC,Shopping,14675.46,SUCCESS,QuickPay,2023-01-18 20:40:00,2023-01-18,Pune,VERIFIED
TXN00000180,U0312,Spotify,Food,4868.63,PENDING,QuickPay,2023-01-15 10:50:31,2023-01-15,Jaipur,REJECTED
TXN00000183,U0707,Ola,Entertainment,22174.72,REFUNDED,FastCash,2023-01-13 16:56:16,2023-01-13,Mumbai,VERIFIED
TXN00000186,U0052,IRCTC,Travel,12186.01,SUCCESS,EasyWallet,2023-01-09 07:03:57,2023-01-09,Jaipur,REJECTED
TXN00000190,U0367,IRCTC,Entertainment,29446.76,SUCCESS,FastCash,2023-01-06 18:30:29,2023-01-06,Ahmedabad,PENDING
TXN00000191,U0130,GooglePay,Grocery,26309.02,SUCCESS,SafePay,2023-01-21 08:23:39,2023-01-21,Bangalore,VERIFIED
TXN00000193,U0745,IRCTC,Utilities,22907.55,REFUNDED,PayWallet,2023-01-17 20:11:29,2023-01-17,Hyderabad,REJECTED
TXN00000195,U0921,Flipkart,Travel,30418.79,SUCCESS,FastCash,2023-01-29 12:58:59,2023-01-29,Bangalore,PENDING
TXN00000207,U0185,Uber,Utilities,46077.66,SUCCESS,QuickPay,2023-01-12 05:51:47,2023-01-12,Ranchi,REJECTED
TXN00000215,U0008,Swiggy,Utilities,47266.75,FAILED,FastCash,2023-01-22 06:36:17,2023-01-22,Pune,REJECTED
TXN00000218,U0407,MakeMyTrip,Shopping,21816.62,SUCCESS,PayWallet,2023-01-28 23:47:32,2023-01-28,Jaipur,REJECTED
TXN00000229,U0361,BigBasket,Food,15527.29,SUCCESS,PayWallet,2023-01-22 19:33:43,2023-01-22,Pune,VERIFIED
TXN00000233,U0462,Flipkart,Travel,49119.46,SUCCESS,QuickPay,2023-01-25 00:42:16,2023-01-25,Kolkata,PENDING
TXN00000234,U0254,GooglePay,Transfer,49549.39,SUCCESS,EasyWallet,2023-01-16 04:49:51,2023-01-16,Delhi,PENDING
TXN00000236,U0809,Paytm,Travel,3304.93,SUCCESS,SafePay,2023-01-21 08:04:55,2023-01-21,Pune,VERIFIED
TXN00000262,U0977,BigBasket,Shopping,19528.78,SUCCESS,SafePay,2023-01-27 06:49:01,2023-01-27,Pune,REJECTED
TXN00000267,U0301,Swiggy,Shopping,39557.55,PENDING,FastCash,2023-01-15 08:42:50,2023-01-15,Chennai,VERIFIED
TXN00000269,U0772,Paytm,Entertainment,14312.68,PENDING,PayWallet,2023-01-15 05:19:49,2023-01-15,Ranchi,REJECTED
TXN00000290,U0129,Ola,Food,22504.23,SUCCESS,FastCash,2023-01-29 15:24:23,2023-01-29,Kolkata,VERIFIED
TXN00000343,U0268,Netflix,Entertainment,22342.31,SUCCESS,FastCash,2023-01-03 15:39:40,2023-01-03,Chennai,REJECTED
TXN00000345,U0684,Flipkart,Transfer,15347.25,SUCCESS,EasyWallet,2023-01-25 03:02:26,2023-01-25,Pune,PENDING
TXN00000356,U0047,Netflix,Travel,35022.24,SUCCESS,PayWallet,2023-01-29 08:41:04,2023-01-29,Mumbai,VERIFIED
